"base_addr";31004000;"addr_bits";8;;
parameter;AWB_GW=12;;;;
parameter;DW=12;;;;
parameter;GW=12;;;;
parameter;DRW=15;;;;
parameter;IH_SW=12;;;;
parameter;IV_SW=12;;;;
parameter;DDR_ADDR_W=32;;;;
parameter;ACK_DLY=0;;;;
;;;;;
;;;;;
;;;;;
"module_name";"ISP";;;;
"sub_addr";"addr";"RW";"bits";"default (hex)";"description"
;;;"[4]";;"r_expn_rev"
;;;"[6:5]";;"r_line_dly_yuv[1:0]"
"0x16";5016;"RW";8;6c;;
;;;"[4:0]";;"r_line_dly_m[4:0]"
;;;"[7:5]";;"r_line_dly_l[2:0]"

"0x17";5017;"RW";8;00;;
;;;"[0]";;"r_rst_bist_m"
;;;"[1]";;"r_rst_bist_l"
;;;"[2]";;"r_rst_retiming_align"
;;;"[3]";;"r_rst_window_ir"
;;;"[4]";;"r_rst_window_yuv"
;;;"[5]";;"r_rst_awb2_snr1"
;;;"[6]";;"r_rst_isp_test_m"
;;;"[7]";;"r_rst_isp_test_l"

"0x19";5019;"RW";5;00;;
;;;"[0]";;"r_clk_off_win_ir"
;;;"[1]";;"r_clk_off_win_yuv"
;;;"[2]";;"r_clk_off_retiming_align"
;;;"[3]";;"r_clk_off_isp_test_m"
;;;"[4]";;"r_clk_off_isp_test_l"
"0x1a";501a;"RW";8;0c;;
;;;"[0]";;"r_ir_path_sv"
;;;"[1]";;"r_ir_bgr_sv_rev"
;;;"[2]";;"r_isp2osd_en"
;;;"[3]";;"r_row_expand_en"



"0x21";5021;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_bgain[0][0][AWB_GW-1:8]"
"0x20";5020;"RW";8;0;;
;;;"[7:0]";;"r_awb_bgain[0][0][7:0]"
"0x23";5023;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_gbgain[0][0][AWB_GW-1:8]"
"0x22";5022;"RW";8;0;;
;;;"[7:0]";;"r_awb_gbgain[0][0][7:0]"
"0x25";5025;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_grgain[0][0][AWB_GW-1:8]"
"0x24";5024;"RW";8;0;;
;;;"[7:0]";;"r_awb_grgain[0][0][7:0]"
"0x27";5027;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_rgain[0][0][AWB_GW-1:8]"
"0x26";5026;"RW";8;0;;
;;;"[7:0]";;"r_awb_rgain[0][0][7:0]"

"0x29";5029;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_bgain[0][1][AWB_GW-1:8]"
"0x28";5028;"RW";8;0;;
;;;"[7:0]";;"r_awb_bgain[0][1][7:0]"
"0x2b";502b;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_gbgain[0][1][AWB_GW-1:8]"
"0x2a";502a;"RW";8;0;;
;;;"[7:0]";;"r_awb_gbgain[0][1][7:0]"
"0x2d";502d;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_grgain[0][1][AWB_GW-1:8]"
"0x2c";502c;"RW";8;0;;
;;;"[7:0]";;"r_awb_grgain[0][1][7:0]"
"0x2f";502f;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_rgain[0][1][AWB_GW-1:8]"
"0x2e";502e;"RW";8;0;;
;;;"[7:0]";;"r_awb_rgain[0][1][7:0]"

"0x31";5031;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_bgain[0][2][AWB_GW-1:8]"
"0x30";5030;"RW";8;0;;
;;;"[7:0]";;"r_awb_bgain[0][2][7:0]"
"0x33";5033;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_gbgain[0][2][AWB_GW-1:8]"
"0x32";5032;"RW";8;0;;
;;;"[7:0]";;"r_awb_gbgain[0][2][7:0]"
"0x35";5035;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_grgain[0][2][AWB_GW-1:8]"
"0x34";5034;"RW";8;0;;
;;;"[7:0]";;"r_awb_grgain[0][2][7:0]"
"0x37";5037;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_rgain[0][2][AWB_GW-1:8]"
"0x36";5036;"RW";8;0;;
;;;"[7:0]";;"r_awb_rgain[0][2][7:0]"

"0x39";5039;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_bgain[0][3][AWB_GW-1:8]"
"0x38";5038;"RW";8;0;;
;;;"[7:0]";;"r_awb_bgain[0][3][7:0]"
"0x3b";503b;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_gbgain[0][3][AWB_GW-1:8]"
"0x3a";503a;"RW";8;0;;
;;;"[7:0]";;"r_awb_gbgain[0][3][7:0]"
"0x3d";503d;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_grgain[0][3][AWB_GW-1:8]"
"0x3c";503c;"RW";8;0;;
;;;"[7:0]";;"r_awb_grgain[0][3][7:0]"
"0x3f";503f;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_rgain[0][3][AWB_GW-1:8]"
"0x3e";503e;"RW";8;0;;
;;;"[7:0]";;"r_awb_rgain[0][3][7:0]"

"0x41";5041;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_bgain[1][0][AWB_GW-1:8]"
"0x40";5040;"RW";8;0;;
;;;"[7:0]";;"r_awb_bgain[1][0][7:0]"
"0x43";5043;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_gbgain[1][0][AWB_GW-1:8]"
"0x42";5042;"RW";8;0;;
;;;"[7:0]";;"r_awb_gbgain[1][0][7:0]"
"0x45";5045;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_grgain[1][0][AWB_GW-1:8]"
"0x44";5044;"RW";8;0;;
;;;"[7:0]";;"r_awb_grgain[1][0][7:0]"
"0x47";5047;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_rgain[1][0][AWB_GW-1:8]"
"0x46";5046;"RW";8;0;;
;;;"[7:0]";;"r_awb_rgain[1][0][7:0]"

"0x49";5049;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_bgain[1][1][AWB_GW-1:8]"
"0x48";5048;"RW";8;0;;
;;;"[7:0]";;"r_awb_bgain[1][1][7:0]"
"0x4b";504b;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_gbgain[1][1][AWB_GW-1:8]"
"0x4a";504a;"RW";8;0;;
;;;"[7:0]";;"r_awb_gbgain[1][1][7:0]"
"0x4d";504d;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_grgain[1][1][AWB_GW-1:8]"
"0x4c";504c;"RW";8;0;;
;;;"[7:0]";;"r_awb_grgain[1][1][7:0]"
"0x4f";504f;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_rgain[1][1][AWB_GW-1:8]"
"0x4e";504e;"RW";8;0;;
;;;"[7:0]";;"r_awb_rgain[1][1][7:0]"

"0x51";5051;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_bgain[1][2][AWB_GW-1:8]"
"0x50";5050;"RW";8;0;;
;;;"[7:0]";;"r_awb_bgain[1][2][7:0]"
"0x53";5053;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_gbgain[1][2][AWB_GW-1:8]"
"0x52";5052;"RW";8;0;;
;;;"[7:0]";;"r_awb_gbgain[1][2][7:0]"
"0x55";5055;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_grgain[1][2][AWB_GW-1:8]"
"0x54";5054;"RW";8;0;;
;;;"[7:0]";;"r_awb_grgain[1][2][7:0]"
"0x57";5057;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_rgain[1][2][AWB_GW-1:8]"
"0x56";5056;"RW";8;0;;
;;;"[7:0]";;"r_awb_rgain[1][2][7:0]"

"0x59";5059;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_bgain[1][3][AWB_GW-1:8]"
"0x58";5058;"RW";8;0;;
;;;"[7:0]";;"r_awb_bgain[1][3][7:0]"
"0x5b";505b;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_gbgain[1][3][AWB_GW-1:8]"
"0x5a";505a;"RW";8;0;;
;;;"[7:0]";;"r_awb_gbgain[1][3][7:0]"
"0x5d";505d;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_grgain[1][3][AWB_GW-1:8]"
"0x5c";505c;"RW";8;0;;
;;;"[7:0]";;"r_awb_grgain[1][3][7:0]"
"0x5f";505f;"RW";AWB_GW-8;4;;
;;;"[AWB_GW-8-1:0]";;"r_awb_rgain[1][3][AWB_GW-1:8]"
"0x5e";505e;"RW";8;0;;
;;;"[7:0]";;"r_awb_rgain[1][3][7:0]"


"0x61";5061;"RW";DW-8;0;;
;;;"[DW-9:0]";;"r_blt[DW-1:8]"
"0x60";5060;"RW";8;40;;
;;;"[7:0]";;"r_blt[7:0]"
"0x63";5063;"RW";GW-8;1;;
;;;"[GW-9:0]";;"r_gain[GW-1:8]"
"0x62";5062;"RW";8;0;;
;;;"[7:0]";;"r_gain[7:0]"
"0x65";5065;"RW";4;0;;
;;;"[3:0]";;"r_blc_value[11:8]"
"0x64";5064;"RW";8;0;;
;;;"[7:0]";;"r_blc_value[7:0]"
"0x67";5067;"RW";4;0;;
;;;"[3:0]";;"r_blc_offset[11:8]"
"0x66";5066;"RW";8;0;;
;;;"[7:0]";;"r_blc_offset[7:0]"

"0x7e";507e;"RW";8;00;;
;;;"[3:0]";;"r_path0_dt_sel[3:0]"
;;;"[7:4]";;"r_path1_dt_sel[3:0]"

"0x7f";507f;"RW";1;0;;
;;;"[0]";;"r_img_sv3_dcpc_sel"

"0x81";5081;"RW";DDR_ADDR_W-24;4;;
;;;"[DDR_ADDR_W-24-1:0]";;"r_kpc_st_adr[DDR_ADDR_W-1:24]"
"0x80";5080;"RW";8;37;;
;;;"[7:0]";;"r_kpc_st_adr[23:16]"
