1,3,0,0
2,13,0,1
3,7,0,0
4,15,0,1
5,15,0,0
6,7,0,1
7,13,0,0
8,3,0,1
9,3,1,0
10,13,1,1
11,7,1,0
12,15,1,1
13,15,1,0
14,7,1,1
15,13,1,0
16,3,1,1
17,3,2,0
18,13,2,1
19,7,2,0
20,15,2,1
21,15,2,0
22,7,2,1
23,13,2,0
24,3,2,1
25,3,3,0
26,13,3,1
27,7,3,0
28,15,3,1
29,15,3,0
30,7,3,1
31,13,3,0
32,3,3,1
33,3,4,0
34,13,4,1
35,7,4,0
36,15,4,1
37,15,4,0
38,7,4,1
39,13,4,0
40,3,4,1
41,3,5,0
42,13,5,1
43,7,5,0
44,15,5,1
45,15,5,0
46,7,5,1
47,13,5,0
48,3,5,1
49,2,4,0
50,12,4,1
51,6,4,0
52,14,4,1
53,14,4,0
54,6,4,1
55,12,4,0
56,2,4,1
57,2,5,0
58,12,5,1
59,6,5,0
60,14,5,1
61,14,5,0
62,6,5,1
63,12,5,0
64,2,5,1
65,1,4,0
66,11,4,1
67,5,4,0
68,9,4,1
69,9,4,0
70,5,4,1
71,11,4,0
72,1,4,1
73,1,5,0
74,11,5,1
75,5,5,0
76,9,5,1
77,9,5,0
78,5,5,1
79,11,5,0
80,1,5,1
81,3,6,0
82,13,6,1
83,7,6,0
84,15,6,1
85,15,6,0
86,7,6,1
87,13,6,0
88,3,6,1
89,3,7,0
90,13,7,1
91,7,7,0
92,15,7,1
93,15,7,0
94,7,7,1
95,13,7,0
96,3,7,1
97,2,6,0
98,12,6,1
99,6,6,0
100,14,6,1
101,14,6,0
102,6,6,1
103,12,6,0
104,2,6,1
105,2,7,0
106,12,7,1
107,6,7,0
108,14,7,1
109,14,7,0
110,6,7,1
111,12,7,0
112,2,7,1
113,1,6,0
114,11,6,1
115,5,6,0
116,9,6,1
117,9,6,0
118,5,6,1
119,11,6,0
120,1,6,1
121,1,7,0
122,11,7,1
123,5,7,0
124,9,7,1
125,9,7,0
126,5,7,1
127,11,7,0
128,1,7,1
129,0,6,0
130,10,6,1
131,4,6,0
132,8,6,1
133,8,6,0
134,4,6,1
135,10,6,0
136,0,6,1
137,0,7,0
138,10,7,1
139,4,7,0
140,8,7,1
141,8,7,0
142,4,7,1
143,10,7,0
144,0,7,1
145,0,4,0
146,10,4,1
147,4,4,0
148,8,4,1
149,8,4,0
150,4,4,1
151,10,4,0
152,0,4,1
153,0,5,0
154,10,5,1
155,4,5,0
156,8,5,1
157,8,5,0
158,4,5,1
159,10,5,0
160,0,5,1
161,2,2,0
162,12,2,1
163,6,2,0
164,14,2,1
165,14,2,0
166,6,2,1
167,12,2,0
168,2,2,1
169,2,3,0
170,12,3,1
171,6,3,0
172,14,3,1
173,14,3,0
174,6,3,1
175,12,3,0
176,2,3,1
177,1,2,0
178,11,2,1
179,5,2,0
180,9,2,1
181,9,2,0
182,5,2,1
183,11,2,0
184,1,2,1
185,1,3,0
186,11,3,1
187,5,3,0
188,9,3,1
189,9,3,0
190,5,3,1
191,11,3,0
192,1,3,1
193,0,2,0
194,10,2,1
195,4,2,0
196,8,2,1
197,8,2,0
198,4,2,1
199,10,2,0
200,0,2,1
201,0,3,0
202,10,3,1
203,4,3,0
204,8,3,1
205,8,3,0
206,4,3,1
207,10,3,0
208,0,3,1
209,2,0,0
210,12,0,1
211,6,0,0
212,14,0,1
213,14,0,0
214,6,0,1
217,12,0,0
218,2,0,1
217,2,1,0
218,12,1,1
219,6,1,0
220,14,1,1
221,14,1,0
222,6,1,1
223,12,1,0
224,2,1,1
225,1,0,0
226,11,0,1
227,5,0,0
228,9,0,1
229,9,0,0
230,5,0,1
231,11,0,0
232,1,0,1
233,1,1,0
234,11,1,1
235,5,1,0
236,9,1,1
237,9,1,0
238,5,1,1
239,11,1,0
240,1,1,1
241,0,0,0
242,10,0,1
243,4,0,0
244,8,0,1
245,8,0,0
246,4,0,1
247,10,0,0
248,0,0,1
249,0,1,0
250,10,1,1
251,4,1,0
252,8,1,1
253,8,1,0
254,4,1,1
255,10,1,0
256,0,1,1
