module_id,module_name,camera,base_addr,address,RW,bits,bit_mask,default_all,description,unique_name,origin_name,combine_name,target_bit_mask,RW,origin_bit_mask,default
ISP,ISP,,0x31004000,0x31004004,RW,8,0xFF,0x90,,ISP_r_rst_ltm,r_rst_ltm,r_rst_ltm,0x00000001,RW,0x04,0x00
ISP,ISP,,0x31004000,0x31004004,RW,8,0xFF,0x90,,ISP_r_rst_curve,r_rst_curve,r_rst_curve,0x00000001,RW,0x08,0x00
ISP,ISP,,0x31004000,0x31004004,RW,8,0xFF,0x90,,ISP_r_cip60_en_l,r_cip60_en_l,r_cip60_en_l,0x00000001,RW,0x10,0x10
ISP,ISP,,0x31004000,0x31004004,RW,8,0xFF,0x90,,ISP_r_comb_en,r_comb_en,r_comb_en,0x00000001,RW,0x20,0x00
ISP,ISP,,0x31004000,0x31004004,RW,8,0xFF,0x90,,ISP_r_ltm_en,r_ltm_en,r_ltm_en,0x00000001,RW,0x40,0x00
ISP,ISP,,0x31004000,0x31004004,RW,8,0xFF,0x90,,ISP_r_curve_en,r_curve_en,r_curve_en,0x00000001,RW,0x80,0x80
ISP,ISP,,0x31004000,0x31004005,RW,8,0xFF,0xE0,,ISP_r_rst_yuvsd,r_rst_yuvsd,r_rst_yuvsd,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004005,RW,8,0xFF,0xE0,,ISP_r_rst_awb,r_rst_awb,r_rst_awb,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004005,RW,8,0xFF,0xE0,,ISP_r_rst_preccm,r_rst_preccm,r_rst_preccm,0x00000001,RW,0x04,0x00
ISP,ISP,,0x31004000,0x31004005,RW,8,0xFF,0xE0,,ISP_r_rst_aec,r_rst_aec,r_rst_aec,0x00000001,RW,0x08,0x00
ISP,ISP,,0x31004000,0x31004005,RW,8,0xFF,0xE0,,ISP_r_yuvsd_en,r_yuvsd_en,r_yuvsd_en,0x00000001,RW,0x10,0x00
ISP,ISP,,0x31004000,0x31004005,RW,8,0xFF,0xE0,,ISP_r_awb_en,r_awb_en,r_awb_en,0x00000001,RW,0x20,0x20
ISP,ISP,,0x31004000,0x31004005,RW,8,0xFF,0xE0,,ISP_r_preccm_en,r_preccm_en,r_preccm_en,0x00000001,RW,0x40,0x40
ISP,ISP,,0x31004000,0x31004005,RW,8,0xFF,0xE0,,ISP_r_aec_en,r_aec_en,r_aec_en,0x00000001,RW,0x80,0x80
ISP,ISP,,0x31004000,0x31004006,RW,8,0xFF,0xF0,,ISP_r_rst_retiming_m,r_rst_retiming_m,r_rst_retiming_m,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004006,RW,8,0xFF,0xF0,,ISP_r_rst_retiming_l,r_rst_retiming_l,r_rst_retiming_l,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004006,RW,8,0xFF,0xF0,,ISP_r_rst_winc,r_rst_winc,r_rst_winc,0x00000001,RW,0x04,0x00
ISP,ISP,,0x31004000,0x31004006,RW,8,0xFF,0xF0,,ISP_r_rst_curve2,r_rst_curve2,r_rst_curve2,0x00000001,RW,0x08,0x00
ISP,ISP,,0x31004000,0x31004006,RW,8,0xFF,0xF0,,ISP_r_retiming_en_m,r_retiming_en_m,r_retiming_en_m,0x00000001,RW,0x10,0x10
ISP,ISP,,0x31004000,0x31004006,RW,8,0xFF,0xF0,,ISP_r_retiming_en_l,r_retiming_en_l,r_retiming_en_l,0x00000001,RW,0x20,0x20
ISP,ISP,,0x31004000,0x31004006,RW,8,0xFF,0xF0,,ISP_r_winc_en,r_winc_en,r_winc_en,0x00000001,RW,0x40,0x40
ISP,ISP,,0x31004000,0x31004006,RW,8,0xFF,0xF0,,ISP_r_curve2_en,r_curve2_en,r_curve2_en,0x00000001,RW,0x80,0x80
ISP,ISP,,0x31004000,0x31004007,RW,8,0xFF,0x00,,ISP_r_rst_yuvbin,r_rst_yuvbin,r_rst_yuvbin,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004007,RW,8,0xFF,0x00,,ISP_r_rst_crop0,r_rst_crop0,r_rst_crop0,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004007,RW,8,0xFF,0x00,,ISP_r_rst_crop1,r_rst_crop1,r_rst_crop1,0x00000001,RW,0x04,0x00
ISP,ISP,,0x31004000,0x31004007,RW,8,0xFF,0x00,,ISP_r_rst_colorconvert,r_rst_colorconvert,r_rst_colorconvert,0x00000001,RW,0x08,0x00
ISP,ISP,,0x31004000,0x31004007,RW,8,0xFF,0x00,,ISP_r_yuvbin_en,r_yuvbin_en,r_yuvbin_en,0x00000001,RW,0x10,0x00
ISP,ISP,,0x31004000,0x31004007,RW,8,0xFF,0x00,,ISP_r_crop0_en,r_crop0_en,r_crop0_en,0x00000001,RW,0x20,0x00
ISP,ISP,,0x31004000,0x31004007,RW,8,0xFF,0x00,,ISP_r_crop1_en,r_crop1_en,r_crop1_en,0x00000001,RW,0x40,0x00
ISP,ISP,,0x31004000,0x31004007,RW,8,0xFF,0x00,,ISP_r_colorconvert_en,r_colorconvert_en,r_colorconvert_en,0x00000001,RW,0x80,0x00
ISP,ISP,,0x31004000,0x31004008,RW,8,0x77,0x00,,ISP_r_rst_norm,r_rst_norm,r_rst_norm,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004008,RW,8,0x77,0x00,,ISP_r_rst_antidcg_l,r_rst_antidcg_l,r_rst_antidcg_l,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004008,RW,8,0x77,0x00,,ISP_r_rst_awb2,r_rst_awb2,r_rst_awb2,0x00000001,RW,0x04,0x00
ISP,ISP,,0x31004000,0x31004008,RW,8,0x77,0x00,,ISP_r_norm_en,r_norm_en,r_norm_en,0x00000001,RW,0x10,0x00
ISP,ISP,,0x31004000,0x31004008,RW,8,0x77,0x00,,ISP_r_antidcg_en_l,r_antidcg_en_l,r_antidcg_en_l,0x00000001,RW,0x20,0x00
ISP,ISP,,0x31004000,0x31004008,RW,8,0x77,0x00,,ISP_r_awb2_en,r_awb2_en,r_awb2_en,0x00000001,RW,0x40,0x00
ISP,ISP,,0x31004000,0x31004009,RW,4,0xF,0x0,,ISP_r_rst_img_sv2,r_rst_img_sv2,r_rst_img_sv2,0x00000001,RW,0x1,0x0
ISP,ISP,,0x31004000,0x31004009,RW,4,0xF,0x0,,ISP_r_rst_img_sv3,r_rst_img_sv3,r_rst_img_sv3,0x00000001,RW,0x2,0x0
ISP,ISP,,0x31004000,0x31004009,RW,4,0xF,0x0,,ISP_r_img_sv2_en,r_img_sv2_en,r_img_sv2_en,0x00000001,RW,0x4,0x0
ISP,ISP,,0x31004000,0x31004009,RW,4,0xF,0x0,,ISP_r_img_sv3_en,r_img_sv3_en,r_img_sv3_en,0x00000001,RW,0x8,0x0
ISP,ISP,,0x31004000,0x3100400A,RW,8,0xFF,0x0F,,ISP_r_snr_out_en[7:0],r_snr_out_en[7:0],r_snr_out_en,0x000000FF,RW,0xFF,0x0F
ISP,ISP,,0x31004000,0x3100400B,RW,8,0xFF,0xFF,,ISP_r_hdr_out_en[7:0],r_hdr_out_en[7:0],r_hdr_out_en,0x000000FF,RW,0xFF,0xFF
ISP,ISP,,0x31004000,0x3100400D,RW,8,0xFF,0x00,,ISP_r_align_hblk_min[15:8],r_align_hblk_min[15:8],r_align_hblk_min,0x0000FF00,RW,0xFF,0x00
ISP,ISP,,0x31004000,0x3100400C,RW,8,0xFF,0x80,,ISP_r_align_hblk_min[7:0],r_align_hblk_min[7:0],r_align_hblk_min,0x000000FF,RW,0xFF,0x80
ISP,ISP,,0x31004000,0x3100400E,RW,8,0x0D,0x01,,ISP_r_format_op[1:0],r_format_op[1:0],r_format_op,0x00000003,RW,0x0C,0x00
ISP,ISP,,0x31004000,0x3100400E,RW,8,0x0D,0x01,,ISP_r_format_en,r_format_en,r_format_en,0x00000001,RW,0x01,0x01
ISP,ISP,,0x31004000,0x3100400F,RW,5,0x1F,0x0,,ISP_r_ret_cut[4:0],r_ret_cut[4:0],r_ret_cut,0x0000001F,RW,0x1F,0x0
ISP,ISP,,0x31004000,0x31004011,RW,8,0xBF,0x20,,ISP_r_hblank,r_hblank,r_hblank,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004011,RW,8,0xBF,0x20,,ISP_r_fnd_sync_en,r_fnd_sync_en,r_fnd_sync_en,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004011,RW,8,0xBF,0x20,,ISP_r_sof_sel[1:0],r_sof_sel[1:0],r_sof_sel,0x00000003,RW,0x0C,0x00
ISP,ISP,,0x31004000,0x31004011,RW,8,0xBF,0x20,,ISP_r_irout_sel,r_irout_sel,r_irout_sel,0x00000001,RW,0x10,0x00
ISP,ISP,,0x31004000,0x31004011,RW,8,0xBF,0x20,,ISP_r_eof_sel,r_eof_sel,r_eof_sel,0x00000001,RW,0x20,0x20
ISP,ISP,,0x31004000,0x31004011,RW,8,0xBF,0x20,,ISP_r_rgbir_mode,r_rgbir_mode,r_rgbir_mode,0x00000001,RW,0x80,0x00
ISP,ISP,,0x31004000,0x31004012,RW,8,0xFB,0x44,,ISP_r_ir_mode_en,r_ir_mode_en,r_ir_mode_en,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004012,RW,8,0xFB,0x44,,ISP_r_isp_gate_clk_en,r_isp_gate_clk_en,r_isp_gate_clk_en,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004012,RW,8,0xFB,0x44,,ISP_r_crop0_bin_sel,r_crop0_bin_sel,r_crop0_bin_sel,0x00000001,RW,0x08,0x00
ISP,ISP,,0x31004000,0x31004012,RW,8,0xFB,0x44,,ISP_r_awb_eg0_en[1:0],r_awb_eg0_en[1:0],r_awb_eg0_en,0x00000003,RW,0x30,0x00
ISP,ISP,,0x31004000,0x31004012,RW,8,0xFB,0x44,,ISP_r_awb_eg1_en[1:0],r_awb_eg1_en[1:0],r_awb_eg1_en,0x00000003,RW,0xC0,0x40
ISP,ISP,,0x31004000,0x31004013,RW,8,0x77,0x08,,ISP_r_ir_rev_en,r_ir_rev_en,r_ir_rev_en,0x00000001,RW,0x01,0x00
ISP,ISP,,0x31004000,0x31004013,RW,8,0x77,0x08,,ISP_r_bdot_en_m,r_bdot_en_m,r_bdot_en_m,0x00000001,RW,0x02,0x00
ISP,ISP,,0x31004000,0x31004013,RW,8,0x77,0x08,,ISP_r_bdot_en_l,r_bdot_en_l,r_bdot_en_l,0x00000001,RW,0x04,0x00
ISP,ISP,,0x31004000,0x31004013,RW,8,0x77,0x08,,ISP_r_hdr_mode[2:0],r_hdr_mode[2:0],r_hdr_mode,0x00000007,RW,0x70,0x00
ISP,ISP,,0x31004000,0x31004014,RW,8,0xFF,0x77,,ISP_r_wbgain_1pix[0][3:0],r_wbgain_1pix[0][3:0],r_wbgain_1pix[0],0x0000000F,RW,0x0F,0x07
ISP,ISP,,0x31004000,0x31004014,RW,8,0xFF,0x77,,ISP_r_wbgain_1pix[1][3:0],r_wbgain_1pix[1][3:0],r_wbgain_1pix[1],0x0000000F,RW,0xF0,0x70
ISP,ISP,,0x31004000,0x31004015,RW,8,0x7F,0x41,,ISP_r_wbgain_1snr,r_wbgain_1snr,r_wbgain_1snr,0x00000001,RW,0x01,0x01
